RANK,NAME,TEAM,POS,AGE,FTA,FT_PCT,TwoPA,TwoP_PCT,ThreePA,ThreeP_PCT,eFG_PCT,TS_PCT
98,Danilo Gallinari,Lac,F,30.85,33,0.848,67,0.388,43,0.302,0.414,0.478
99,Shai Gilgeous-Alexander,Lac,G,20.92,20,0.85,42,0.452,18,0.5,0.542,0.596
100,JaMychal Green,Lac,F,28.98,10,0.8,20,0.55,23,0.522,0.674,0.696
101,Montrezl Harrell,Lac,F-C,25.38,26,0.692,62,0.742,1,0,0.73,0.739
102,Landry Shamet,Lac,G,22.26,10,1,7,0.429,31,0.323,0.474,0.542
103,Garrett Temple,Lac,G-F,33.1,10,0.7,4,0.5,7,0.143,0.318,0.455
104,Lou Williams,Lac,G,32.63,41,0.829,86,0.453,18,0.333,0.462,0.533
105,Lonnie Walker IV,San,G,20.5,0,0,7,0.429,1,0,0.375,0.375
106,Kenneth Faried,Hou,F-C,29.57,6,0.833,12,0.667,1,1,0.731,0.767
107,Semi Ojeleye,Bos,F,24.52,2,1,4,0.25,5,0.6,0.611,0.658
108,Jake Layman,Por,F,25.27,4,0.75,2,0.5,5,0,0.143,0.285
109,Jarrett Allen,Bro,C,21.15,20,0.85,32,0.594,0,0,0.594,0.674
110,DeMarre Carroll,Bro,F,32.88,8,1,14,0.143,24,0.292,0.329,0.397
111,Spencer Dinwiddie,Bro,G,26.19,14,0.714,38,0.474,24,0.375,0.508,0.536
112,Treveon Graham,Bro,F,25.63,6,0.5,3,0.667,7,0,0.2,0.277
113,Joe Harris,Bro,G-F,27.77,8,1,22,0.545,21,0.19,0.419,0.473
114,Caris LeVert,Bro,G,24.8,29,0.724,47,0.511,26,0.462,0.575,0.612
115,D'Angelo Russell,Bro,G,23.3,13,0.846,65,0.385,37,0.324,0.422,0.45
116,Davis Bertans,San,F,26.58,5,0.6,4,0.5,11,0.273,0.433,0.465
117,D.J. Augustin,Orl,G,31.59,16,0.875,20,0.5,21,0.476,0.61,0.666
118,Khem Birch,Orl,C,26.71,7,0.857,18,0.556,0,0,0.556,0.617
119,Michael Carter-Williams,Orl,G,27.68,8,0.875,23,0.435,8,0.25,0.419,0.478
120,Evan Fournier,Orl,G-F,26.62,8,0.75,35,0.457,34,0.235,0.406,0.427
121,Aaron Gordon,Orl,F,23.74,19,0.526,42,0.5,20,0.4,0.532,0.54
122,Jonathan Isaac,Orl,F,21.7,8,0.875,20,0.35,20,0.2,0.325,0.379
123,Wes Iwundu,Orl,F,24.48,9,1,9,0.333,9,0.333,0.417,0.546
124,Terrence Ross,Orl,G-F,28.35,17,0.824,19,0.421,35,0.343,0.481,0.537
