Major,Major Category,Men,Women,More Men than Women?,Employed,Unemployed,Median Income
Industrial Production Technologies,Engineering,5625,588,TRUE,4290,137,52000
Information Sciences,Computers & Mathematics,4902,2307,TRUE,6126,201,72000
Intercultural and International Studies,Humanities & Liberal Arts,2253,4401,FALSE,5438,197,42000
Interdisciplinary Social Sciences,Social Science,1978,4373,FALSE,4481,168,34000
International Business,Business,3476,4440,FALSE,6446,197,50000
International Relations,Social Science,4410,5616,FALSE,7670,276,50000
Journalism,Communications & Journalism,13044,19752,FALSE,24321,823,40000
Liberal Arts,Humanities & Liberal Arts,18122,28157,FALSE,30893,1018,30000
Linguistics and Comparative Language and Literature,Humanities & Liberal Arts,2206,5832,FALSE,5236,229,25000
Management Information Systems and Statistics,Business,8788,4905,TRUE,11663,333,75000
Marketing and Marketing Research,Business,35668,41119,FALSE,60123,1790,48000
Mass Media,Communications & Journalism,8967,8554,TRUE,14401,671,40000
Materials Engineering and Materials Science,Engineering,1933,606,TRUE,1811,54,60000
Materials Science,Engineering,1220,472,TRUE,1405,32,75000
Mathematics,Computers & Mathematics,31494,22653,TRUE,33576,857,35000
Mathematics and Computer Science,Computers & Mathematics,705,381,TRUE,872,21,80000
Mathematics Teacher Education,Education,3911,5694,FALSE,5696,82,24000
Mechanical Engineering,Engineering,54997,5724,TRUE,44313,1153,72000
Mechanical Engineering Related Technologies,Engineering,2332,156,TRUE,2039,51,64000
Medical Assisting Services,Health,646,4650,FALSE,3954,70,40000
Medical Technologies Technicians,Health,3103,10111,FALSE,9157,179,43700
Metallurgical Engineering,Engineering,1352,172,TRUE,849,27,30000
Microbiology,Biology & Life Science,3966,5001,FALSE,6334,170,49000
Mining and Mineral Engineering,Engineering,974,85,TRUE,697,30,60000
Miscellaneous Agriculture,Agriculture & Natural Resources,691,517,TRUE,860,12,35000
Miscellaneous Biology,Biology & Life Science,2399,2158,TRUE,3508,92,43000
Miscellaneous Business & Medical Administration,Business,4558,3983,TRUE,6504,233,45000
Miscellaneous Engineering,Engineering,4643,1234,TRUE,4490,131,64000
Miscellaneous Engineering Technologies,Engineering,4260,1096,TRUE,4320,130,60000
Miscellaneous Fine Arts,Arts,566,528,TRUE,887,59,32000
Miscellaneous Health Medical Professions,Health,1353,6834,FALSE,5615,157,30000
Miscellaneous Psychology,Psychology & Social Work,1180,2999,FALSE,3028,106,35050
Miscellaneous Social Sciences,Social Science,888,1030,FALSE,1436,39,45000
Molecular Biology,Biology & Life Science,2355,2664,FALSE,4150,98,58000
Multi-Disciplinary or General Science,Physical Sciences,15093,13948,TRUE,19775,506,40000
Multi/Interdisciplinary Studies,Interdisciplinary,1648,3711,FALSE,4305,144,41000
Music,Arts,14183,15874,FALSE,21357,628,25000
Natural Resources Management,Agriculture & Natural Resources,5455,2804,TRUE,6308,173,41000
Naval Architecture and Marine Engineering,Engineering,1537,85,TRUE,973,30,50000
Neuroscience,Biology & Life Science,1238,1724,FALSE,2345,57,41000
Nuclear Engineering,Engineering,1136,175,TRUE,955,25,81000
"Nuclear, Industrial Radiology, and Biological Technologies",Physical Sciences,416,521,FALSE,754,16,52000
Nursing,Health,14031,143394,FALSE,112782,1734,50000
Nutrition Sciences,Health,896,6596,FALSE,5437,158,34000
Oceanography,Physical Sciences,752,454,TRUE,892,23,47000
Operations Logistics and E-Commerce,Business,3991,1842,TRUE,4823,147,60000
Other Foreign Languages,Humanities & Liberal Arts,2526,3993,FALSE,4158,165,25000
Petroleum Engineering,Engineering,1671,249,TRUE,1247,69,60000
Pharmacology,Biology & Life Science,364,389,FALSE,581,9,70000
Pharmacy Pharmaceutical Sciences and Administration,Health,10227,9766,TRUE,13718,286,60000
Philosophy and Religious Studies,Humanities & Liberal Arts,19722,9117,TRUE,19489,540,30000
Physical and Health Education Teaching,Education,14283,13270,TRUE,16237,346,21000
Physical Fitness Parks Recreation and Leisure,Industrial Arts & Consumer Services,18657,17694,TRUE,30114,777,40000
Physical Sciences,Physical Sciences,638,214,TRUE,560,14,37000
Physics,Physical Sciences,18060,3887,TRUE,14667,462,50000
Physiology,Biology & Life Science,3197,3890,FALSE,5661,134,50000
Plant Science and Agronomy,Agriculture & Natural Resources,5342,2315,TRUE,5525,125,38000
Political Science and Government,Social Science,52998,34118,TRUE,63748,2007,50000
Pre-Law and Legal Studies,Law & Public Policy,1980,3613,FALSE,4114,161,40000
Psychology,Psychology & Social Work,51597,119150,FALSE,123064,3837,35000
Public Administration,Law & Public Policy,3228,2628,TRUE,4056,132,40000
Public Policy,Law & Public Policy,1133,1215,FALSE,1910,64,60000
Science and Computer Teacher Education,Education,3813,4121,FALSE,4409,96,16900
Social Psychology,Psychology & Social Work,344,633,FALSE,567,22,23800
Social Work,Psychology & Social Work,5327,31354,FALSE,25314,657,30000
Sociology,Social Science,20463,42069,FALSE,40321,1206,29000
Soil Science,Agriculture & Natural Resources,450,151,TRUE,406,9,39000
Special Needs Education,Education,2477,19283,FALSE,14156,217,33000
Statistics and Decision Science,Computers & Mathematics,1770,1498,TRUE,2447,74,58000
Studio Arts,Arts,2348,4842,FALSE,5442,167,27000
Teacher Education: Multiple Levels,Education,2322,8163,FALSE,6242,87,21000
Theology and Religious Vocations,Humanities & Liberal Arts,18936,7443,TRUE,17888,349,25000
Transportation Sciences and Technologies,Industrial Arts & Consumer Services,8773,1070,TRUE,7348,181,65000
Treatment Therapy Professions,Health,6272,19127,FALSE,19781,364,48000
United States History,Humanities & Liberal Arts,1340,802,TRUE,1207,38,18400
Visual and Performing Arts,Arts,1077,3576,FALSE,3647,146,30000
Zoology,Biology & Life Science,5846,3869,TRUE,6325,103,40000
